id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
9019,Copa Truck,IVECO Stralis,9045,CopaTruck,AMS2,Sports Car,,Yes,,,ftruck_iveco
9020,Copa Truck,MAN TGX,9045,CopaTruck,AMS2,Sports Car,,Yes,,,ftruck_man
9021,Copa Truck,Mercedes-Benz Actros-2651,9045,CopaTruck,AMS2,Sports Car,,Yes,,,ftruck_merc
9022,Copa Truck,Vulkan Truck,9045,CopaTruck,AMS2,Sports Car,,Yes,,,ftruck_vulkan
9023,Copa Truck,Volkswagen Constellation,9045,CopaTruck,AMS2,Sports Car,,Yes,,,ftruck_vw
9024,Copa Uno,Fiat Uno,9046,CopaUno,AMS2,Sports Car,,Yes,,,uno
9025,DPi,Cadillac DPi-V.R,9047,DPi,AMS2,Sports Car,Racin' USA 1,No,,,cadillac_dpi-vr
9026,Formula USA Gen 1,Lola T95/00 Ford-Cosworth,9048,F-USA-Gen1 t9500 Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_lola_t95_ford
9027,Formula USA Gen 1,Lola T95/00 Mercedes-Benz,9048,F-USA-Gen1 Merc Benz t9500,AMS2,Open Wheel,Racin' USA 2,No,,,cart_lola_t95_mercedes
9028,Formula USA Gen 1,Reynard 95i Ford-Cosworth,9048,F-USA-Gen1 Reynard 95i Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_95i_ford
9029,Formula USA Gen 1,Reynard 95i Honda,9048,F-USA-Gen1 Reynard 95 I Honda,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_95i_honda
9030,Formula USA Gen 1,Reynard 95i Mercedes-Benz,9048,F-USA-Gen1 Reynard 95 I Merc Benz,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_95i_mercedes
9031,Formula USA Gen 2,Lola T98/00 Ford-Cosworth,9049,F-USA-Gen2 Lola T9800 Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_lola_t98
9032,Formula USA Gen 2,Reynard 98i Ford-Cosworth,9049,F-USA-Gen2 Reynard 98i Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_98i_ford
9033,Formula USA Gen 2,Reynard 98i Honda,9049,F-USA-Gen2 Reynard 98i Honda,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_98i_honda
9034,Formula USA Gen 2,Reynard 98i Mercedes-Benz,9049,F-USA-Gen2 Reynard 98i Mercedes Benz,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_98i_mercedes
9035,Formula USA Gen 2,Reynard 98i Toyota,9049,F-USA-Gen2 Reynard 98i Toyota,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_98i_toyota
9036,Formula USA Gen 2,Swift 009c Ford-Cosworth,9049,F-USA-Gen2 Swift 009c Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_swift_009c
9037,Formula USA Gen 3,Lola B2K/00 Ford-Cosworth,9050,F-USA-Gen3 B2K Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_lola_b2k00_ford
9038,Formula USA Gen 3,Lola B2K/00 Mercedes-Benz,9050,F-USA-Gen3 B2K Mercedes Benz,AMS2,Open Wheel,Racin' USA 2,No,,,cart_lola_b2k00_mercedes
9039,Formula USA Gen 3,Lola B2K/00 Toyota,9050,F-USA-Gen3 B2K Toyota,AMS2,Open Wheel,Racin' USA 2,No,,,cart_lola_b2k00_toyota
9040,Formula USA Gen 3,Reynard 2Ki Ford-Cosworth,9050,F-USA-Gen3 2Ki Ford Cosworth,AMS2,Open Wheel,Racin' USA 2,No,,,cart_reynard_2ki_ford
